캐릭터명,English_Name,캐릭터아이콘경로,희귀도,속성명리스트,무기명리스트,퍼스널리티리스트,속성_아이콘경로리스트,무기_아이콘경로리스트,방어구_아이콘경로리스트,속성장비_정보,출시일
렌리,Renri,04_data\images\character_art\icons\101030091_rank5_command.png,4~5★ SA,불,도끼,"Glasses, Sweet tooth, COA, Ax, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|Skill Type 8 1.png|202000003 icon.png|216000003 icon.png,2019-09-20
섀넌,Shannon,04_data\images\character_art\icons\101010091_rank5_command.png,4~5★,바람,검,"Cat lover, Art, KMS, Sword, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2019-09-20
이스카 AS,Isuka AS,04_data\images\character_art\icons\101020071_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2019-09-13
사키 AS,Saki AS,04_data\images\character_art\icons\101000231_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2019-09-13
클로드,Claude,04_data\images\character_art\icons\101050081_rank5_command.png,4~5★,바람,활,"IDA School, Bookworm, Dragon, Royalty, Bow, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000005 icon.png|216000004 icon.png,2019-08-30
마이티 AS,Mighty AS,04_data\images\character_art\icons\101000041_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2019-08-30
사키,Saki,04_data\images\character_art\icons\101000231_command.png,2~4★,물,지팡이,"IDA School, Staff, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2019-08-30
츠키하,Tsukiha,04_data\images\character_art\icons\101020081_rank5_command.png,4~5★ SA,불,도,"Eastern, Mask, Avenger, Cursed, Fairy, Land of Ro, Royalty, Katana, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2019-08-19
베르트랑,Bertrand,04_data\images\character_art\icons\101040101_rank5_command.png,4~5★ SA,땅,창,"Miglance Palace, Shield, Lance, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 2.png|202000004 icon.png|216000002 icon.png,2019-08-07
펠미나,Felmina,04_data\images\character_art\icons\101060091_rank5_command.png,4~5★,바람,권갑,"Miglance Palace, Hood, Ninja, Outlaw, Fists, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000006 icon.png|216000003 icon.png,2019-08-07
길드너,Guildna,04_data\images\character_art\icons\101800041_rank5_command.png,4~5★,불,검,"Beast, Luring Shadow, Royalty, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2019-07-31
수제트 AS,Suzette AS,04_data\images\character_art\icons\101040031_s2_rank5_command.png,5★,,,,,,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000004 icon.png|216000002 icon.png,2019-07-31
뮬루스,Myrus,04_data\images\character_art\icons\101000221_rank5_command.png,4~5★ SA,땅,지팡이,"Beast, Staff, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2019-07-24
착한 마쿠마쿠,Good Macky,04_data\images\character_art\icons\101060061_command.png,4★,바람,권갑,"Sweet tooth, Cat Hater, Fists, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000006 icon.png|216000003 icon.png,2019-07-11
메리나,Melina,04_data\images\character_art\icons\101070061_rank5_command.png,4~5★ SA,물,망치,"Clergy, Minstrel, Sweet tooth, Miner, Royalty, West, Hammer, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000007 icon.png|216000002 icon.png,2019-07-04
노놀드,Nonold,04_data\images\character_art\icons\101000211_rank5_command.png,3~5★ SA,,지팡이,"IDA School, Scientist, Forager, KMS, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-07-04
질버,Zilva,04_data\images\character_art\icons\101030081_command.png,3~4★,땅,도끼,"Art, Forager, Outlaw, Ax, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000003 icon.png|216000003 icon.png,2019-07-04
셰이네,Shanie,04_data\images\character_art\icons\101010081_rank5_command.png,4~5★ SA,물,검,"Cursed, Lovesick, Sword, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2019-06-26
셀리느,Cerrine,04_data\images\character_art\icons\101060081_rank5_command.png,4~5★,땅,권갑,"Glasses, IDA School, Outlaw, Fists, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2019-06-12
세티,Cetie,04_data\images\character_art\icons\101040091_rank5_command.png,4~5★ SA,불,창,"Glasses, COA, Mounted, Lance, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000004 icon.png|216000002 icon.png,2019-06-12
야즈키,Yazuki,04_data\images\character_art\icons\101030061_command.png,3~4★,바람,도끼,"Glasses, Outlaw, Scallywag, Ax, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2019-06-12
유인,Ewan,04_data\images\character_art\icons\101070051_rank5_command.png,4~5★ SA,불,망치,"Glasses, Sweet tooth, Cursed, Miner, Weapons, Hammer, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000007 icon.png|216000002 icon.png,2019-05-22
에리나,Erina,04_data\images\character_art\icons\101000151_command.png,3~4★,,지팡이,"Spirit-fused, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-05-22
레비아,Levia,04_data\images\character_art\icons\101000201_rank5_command.png,5★,물,지팡이,"Dragon Palace, Amnesia, Bind, Fishman, Staff, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2019-05-08
나기,Nagi,04_data\images\character_art\icons\101030071_rank5_command.png,4~5★,땅,도끼,"Dragon Palace, Glutton, Royalty, Ax, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000003 icon.png|216000003 icon.png,2019-05-08
치요,Chiyo,04_data\images\character_art\icons\101000191_command.png,3~4★,땅,지팡이,"Dragon Palace, Staff, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2019-05-08
시에라,Sheila,04_data\images\character_art\icons\101040081_command.png,2~4★,물,창,"Dragon Palace, Fishman, Royalty, Lance, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2019-05-08
가리유,Gariyu,04_data\images\character_art\icons\101000081_rank5_command.png,2~5★,불,지팡이,"Dragon, Staff, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2019-04-11
유나,Yuna,04_data\images\character_art\icons\101000121_rank5_command.png,4~5★ SA,,지팡이,"Clergy, Eastern, Estrangement, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-04-11
라비나,Lovinia,04_data\images\character_art\icons\101050071_command.png,3~4★,바람,활,"Minstrel, Spirit Talker, Bow, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000005 icon.png|216000004 icon.png,2019-04-11
이스카,Isuka,04_data\images\character_art\icons\101020071_rank5_command.png,4~5★ SA,바람,도,"IDA School, Bookworm, COA, Lost Laboratory, Power to Rule, Katana, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2019-03-27
제이드,Jade,04_data\images\character_art\icons\101040071_rank5_command.png,2~5★,불,창,"IDA School, Lance, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000004 icon.png|216000002 icon.png,2019-03-27
루이나,Ruina,04_data\images\character_art\icons\101010031_command.png,3~4★,바람,검,"Elf, Glasses, IDA School, Bookworm, Sword, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 4.png|202000001 icon.png|216000002 icon.png,2019-03-27
아자미,Azami,04_data\images\character_art\icons\101020011_rank5_command.png,4~5★,바람,도,"Eastern, Sweet tooth, Land of Mi, Lovesick, Katana, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000002 icon.png|216000004 icon.png,2019-03-13
라클레어,Laclair,04_data\images\character_art\icons\101050061_rank5_command.png,4~5★,물,활,"Avenger, Dog lover, Dragon Killer, Bow, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000005 icon.png|216000004 icon.png,2019-03-13
사모라,Samora,04_data\images\character_art\icons\101070021_command.png,3~4★,불,망치,"Cooking, Dwarf, Gourmet, Miner, Hammer, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000007 icon.png|216000002 icon.png,2019-03-13
아나벨,Anabel,04_data\images\character_art\icons\101010011_rank5_command.png,4~5★,물,검,"Miglance Palace, Sweet tooth, Mounted, Shield, Sword, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000001 icon.png|216000002 icon.png,2019-02-28
디아드라,Deirdre,04_data\images\character_art\icons\101010051_rank5_command.png,2~5★,땅,검,"Miglance Palace, Amnesia, Demon Sword, Outlaw, Sword, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 2.png|202000001 icon.png|216000002 icon.png,2019-02-28
네로,Nero,04_data\images\character_art\icons\101060071_command.png,3~4★,물,권갑,"Eastern, Land of Shin, MMA, Fists, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 8.png|202000006 icon.png|216000003 icon.png,2019-02-28
아카네,Akane,04_data\images\character_art\icons\101020051_rank5_command.png,3~5★ SA,불,도,"Eastern, Itto-Ryu, Land of Mi, Katana, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000002 icon.png|216000004 icon.png,2019-01-28
알도,Aldo,04_data\images\character_art\icons\101910011_rank5_command.png,3~5★ SA,불,검,"Guiding Light, New Radical Dreamers, New Time Drift, Protagonist, Arcadia, Baruoki, Concerto Artes, Demon Sword, Dragon, Forager, Itto-Ryu, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 0.png|Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2019-01-28
에이미,Amy,04_data\images\character_art\icons\101960011_rank5_command.png,3~5★,바람,권갑,"Blacksmith, Cooking, Avenger, Spirit-fused, Fists, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|Skill Type 8 4.png|202000006 icon.png|216000003 icon.png,2019-01-28
베네디트,Benedict,04_data\images\character_art\icons\101030021_rank5_command.png,3~5★,바람,도끼,"Forager, Outlaw, Woodcutter, Ax, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/ax_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000003_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 0.png|Skill Type 8 4.png|202000003 icon.png|216000003 icon.png,2019-01-28
비베트,Bivette,04_data\images\character_art\icons\101000061_rank5_command.png,3~5★,불,지팡이,"Cat lover, Animal Talker, Spirit Talker, Staff, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 1.png|202000000 icon.png|216000004 icon.png,2019-01-28
브리아,Bria,04_data\images\character_art\icons\101140021_rank5_command.png,3~5★,물,창,"Elf, Fleareth, Lance, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/lance_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000004_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 8.png|202000004 icon.png|216000002 icon.png,2019-01-28
시엘,Ciel,04_data\images\character_art\icons\101050021_rank5_command.png,3~5★,땅,활,"Minstrel, Bow, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/bow_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000005_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 2.png|202000005 icon.png|216000004 icon.png,2019-01-28
사이러스 (스토리),Cyrus,04_data\images\character_art\icons\101920011_rank5_command.png,3~5★,물,도,"Eastern, Guiding Light, Cursed, Katana, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/katana_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000002_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|Skill Type 8 8.png|202000002 icon.png|216000004 icon.png,2019-01-28
피네,Feinne,04_data\images\character_art\icons\101900011_rank5_command.png,3~5★,,지팡이,"Cat lover, Cooking, Baruoki, Demon Sword, Geo, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-01-28
헬레나,Helena,04_data\images\character_art\icons\101800052_rank5_command.png,3~5★ SA,땅,지팡이,"Mask, Synth Human, Staff, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|Skill Type 8 2.png|202000000 icon.png|216000004 icon.png,2019-01-28
로키드,Lokido,04_data\images\character_art\icons\101060031_rank5_command.png,4~5★,땅,권갑,"Beast, Avenger, Fists, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/fists_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000006_icon.png|04_data\images\character_art\elements_equipment\216000003_icon.png,Skill Type 8 2.png|202000006 icon.png|216000003 icon.png,2019-01-28
마리엘,Mariel,04_data\images\character_art\icons\101000031_rank5_command.png,4~5★ SA,,지팡이,"Cat lover, Clergy, Staff",,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 0.png|202000000 icon.png|216000004 icon.png,2019-01-28
메이,May,04_data\images\character_art\icons\101070031_rank5_command.png,3~5★,땅,망치,"Blacksmith, Glasses, Baruoki, Lovesick, Miner, Hammer, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000007 icon.png|216000002 icon.png,2019-01-28
마이티,Mighty,04_data\images\character_art\icons\101000041_rank5_command.png,4~5★ SA,물,지팡이,"IDA School, Napper, Staff, Water",04_data/images/character_art/elements_equipment/water_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_8.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 8.png|202000000 icon.png|216000004 icon.png,2019-01-28
미유,Miyu,04_data\images\character_art\icons\101010041_rank5_command.png,3~5★,불,검,"Miglance Palace, Royalty, Sword, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/sword_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\202000001_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|202000001 icon.png|216000002 icon.png,2019-01-28
프라이,Prai,04_data\images\character_art\icons\101070011_rank5_command.png,3~5★,불,망치,"Clergy, Miner, West, Hammer, Fire",04_data/images/character_art/elements_equipment/fire_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_1.png|04_data\images\character_art\elements_equipment\Skill_Type_8_0.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 1.png|Skill Type 8 0.png|202000007 icon.png|216000002 icon.png,2019-01-28
리이카,Riica,04_data\images\character_art\icons\101970011_rank5_command.png,3~5★,땅,망치,"Cat lover, KMS, Machinery, Miner, Hammer, Earth",04_data/images/character_art/elements_equipment/earth_icon.png,04_data/images/character_art/elements_equipment/hammer_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_2.png|04_data\images\character_art\elements_equipment\202000007_icon.png|04_data\images\character_art\elements_equipment\216000002_icon.png,Skill Type 8 2.png|202000007 icon.png|216000002 icon.png,2019-01-28
세빈,Sevyn,04_data\images\character_art\icons\101000111_rank5_command.png,3~5★,바람,지팡이,"Glasses, IDA School, Lost Laboratory, Spirit Talker, Staff, Wind",04_data/images/character_art/elements_equipment/wind_icon.png,04_data/images/character_art/elements_equipment/staff_icon.png,04_data\images\character_art\elements_equipment\Skill_Type_8_4.png|04_data\images\character_art\elements_equipment\202000000_icon.png|04_data\images\character_art\elements_equipment\216000004_icon.png,Skill Type 8 4.png|202000000 icon.png|216000004 icon.png,2019-01-28
